Device: cuda
Vocab: 33277 | train tokens: 2,051,910 | val tokens: 213,886

Model config: {'vocab_size': 33277, 'block_size': 128, 'n_layer': 6, 'n_head': 4, 'n_embd': 256, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

/home/dbrayjr5/miniconda3/envs/noise/lib/python3.10/site-packages/torch/cuda/__init__.py:1061: UserWarning: Can't initialize NVML
  raw_cnt = _raw_device_count_nvml()
======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 66.3001 (chance=10.413) | std=1.00 | 0.7s
  [noise-pretrain] step   100/500 | loss 32.9704 (chance=10.413) | std=1.00 | 23.3s
  [noise-pretrain] step   200/500 | loss 24.2870 (chance=10.413) | std=1.00 | 47.7s
  [noise-pretrain] step   300/500 | loss 18.3145 (chance=10.413) | std=1.00 | 73.6s
  [noise-pretrain] step   400/500 | loss 14.7699 (chance=10.413) | std=1.00 | 100.3s
  [noise-pretrain] step   500/500 | loss 12.8712 (chance=10.413) | std=1.00 | 125.8s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step 17750 | tr_full  4.6092 | tr_mis  5.9715 | val_ce 5.0550 | ppl 156.80 | acc 0.2479 | ece 0.0371 | H 4.573 | miss 0.726
[     baseline] step 18000 | tr_full  4.6004 | tr_mis  5.9580 | val_ce 5.0550 | ppl 156.80 | acc 0.2473 | ece 0.0377 | H 4.619 | miss 0.727
[     baseline] step 18250 | tr_full  4.5666 | tr_mis  5.9360 | val_ce 5.0447 | ppl 155.20 | acc 0.2494 | ece 0.0365 | H 4.556 | miss 0.723
[     baseline] step 18500 | tr_full  4.5687 | tr_mis  5.9344 | val_ce 5.0541 | ppl 156.66 | acc 0.2481 | ece 0.0460 | H 4.493 | miss 0.724
[     baseline] step 18750 | tr_full  4.5335 | tr_mis  5.9045 | val_ce 5.0620 | ppl 157.90 | acc 0.2482 | ece 0.0434 | H 4.480 | miss 0.722
[     baseline] step 19000 | tr_full  4.5266 | tr_mis  5.9009 | val_ce 5.0606 | ppl 157.68 | acc 0.2474 | ece 0.0384 | H 4.590 | miss 0.721
[     baseline] step 19250 | tr_full  4.5308 | tr_mis  5.9069 | val_ce 5.0585 | ppl 157.35 | acc 0.2490 | ece 0.0426 | H 4.503 | miss 0.721
[     baseline] step 19500 | tr_full  4.5141 | tr_mis  5.8885 | val_ce 5.0663 | ppl 158.58 | acc 0.2476 | ece 0.0494 | H 4.460 | miss 0.721
[     baseline] step 19750 | tr_full  4.4987 | tr_mis  5.8831 | val_ce 5.0335 | ppl 153.47 | acc 0.2493 | ece 0.0373 | H 4.552 | miss 0.718
[     baseline] step 20000 | tr_full  4.4871 | tr_mis  5.8656 | val_ce 5.0423 | ppl 154.82 | acc 0.2489 | ece 0.0396 | H 4.536 | miss 0.719
[     baseline] step 20250 | tr_full  4.4782 | tr_mis  5.8527 | val_ce 5.0565 | ppl 157.04 | acc 0.2481 | ece 0.0415 | H 4.504 | miss 0.719
[     baseline] step 20500 | tr_full  4.4586 | tr_mis  5.8435 | val_ce 5.0455 | ppl 155.32 | acc 0.2478 | ece 0.0372 | H 4.596 | miss 0.717
[     baseline] step 20750 | tr_full  4.4517 | tr_mis  5.8296 | val_ce 5.0480 | ppl 155.71 | acc 0.2479 | ece 0.0441 | H 4.509 | miss 0.717
[     baseline] step 21000 | tr_full  4.4413 | tr_mis  5.8268 | val_ce 5.0444 | ppl 155.16 | acc 0.2498 | ece 0.0465 | H 4.456 | miss 0.716
[     baseline] step 21250 | tr_full  4.4227 | tr_mis  5.8132 | val_ce 5.0429 | ppl 154.92 | acc 0.2503 | ece 0.0468 | H 4.372 | miss 0.714
[     baseline] step 21500 | tr_full  4.4207 | tr_mis  5.8076 | val_ce 5.0236 | ppl 151.95 | acc 0.2508 | ece 0.0472 | H 4.423 | miss 0.714
[     baseline] step 21750 | tr_full  4.4201 | tr_mis  5.8055 | val_ce 5.0412 | ppl 154.66 | acc 0.2491 | ece 0.0438 | H 4.463 | miss 0.714
[     baseline] step 22000 | tr_full  4.4111 | tr_mis  5.7969 | val_ce 5.0539 | ppl 156.63 | acc 0.2492 | ece 0.0475 | H 4.438 | miss 0.714
[     baseline] step 22250 | tr_full  4.4087 | tr_mis  5.7970 | val_ce 5.0387 | ppl 154.27 | acc 0.2508 | ece 0.0471 | H 4.425 | miss 0.713
[     baseline] step 22500 | tr_full  4.3966 | tr_mis  5.7768 | val_ce 5.0347 | ppl 153.65 | acc 0.2489 | ece 0.0489 | H 4.355 | miss 0.714
[     baseline] step 22750 | tr_full  4.3674 | tr_mis  5.7669 | val_ce 5.0405 | ppl 154.54 | acc 0.2489 | ece 0.0536 | H 4.390 | miss 0.710
[     baseline] step 23000 | tr_full  4.3684 | tr_mis  5.7616 | val_ce 5.0431 | ppl 154.95 | acc 0.2498 | ece 0.0496 | H 4.398 | miss 0.711
[     baseline] step 23250 | tr_full  4.3659 | tr_mis  5.7470 | val_ce 5.0380 | ppl 154.16 | acc 0.2497 | ece 0.0514 | H 4.378 | miss 0.712
[     baseline] step 23500 | tr_full  4.3484 | tr_mis  5.7440 | val_ce 5.0467 | ppl 155.51 | acc 0.2500 | ece 0.0486 | H 4.376 | miss 0.710
[     baseline] step 23750 | tr_full  4.3347 | tr_mis  5.7269 | val_ce 5.0433 | ppl 154.98 | acc 0.2499 | ece 0.0568 | H 4.321 | miss 0.709
[     baseline] step 24000 | tr_full  4.3160 | tr_mis  5.7158 | val_ce 5.0509 | ppl 156.17 | acc 0.2499 | ece 0.0544 | H 4.297 | miss 0.708
[     baseline] step 24250 | tr_full  4.3176 | tr_mis  5.7165 | val_ce 5.0329 | ppl 153.38 | acc 0.2511 | ece 0.0470 | H 4.411 | miss 0.708
[     baseline] step 24500 | tr_full  4.3053 | tr_mis  5.7021 | val_ce 5.0475 | ppl 155.63 | acc 0.2497 | ece 0.0574 | H 4.277 | miss 0.707
[     baseline] step 24750 | tr_full  4.3022 | tr_mis  5.6980 | val_ce 5.0527 | ppl 156.45 | acc 0.2501 | ece 0.0583 | H 4.265 | miss 0.707
[     baseline] step 25000 | tr_full  4.2911 | tr_mis  5.6959 | val_ce 5.0372 | ppl 154.05 | acc 0.2502 | ece 0.0537 | H 4.321 | miss 0.706
[     baseline] step 25250 | tr_full  4.2846 | tr_mis  5.6836 | val_ce 5.0330 | ppl 153.39 | acc 0.2509 | ece 0.0531 | H 4.341 | miss 0.706
[     baseline] step 25500 | tr_full  4.2776 | tr_mis  5.6781 | val_ce 5.0511 | ppl 156.20 | acc 0.2506 | ece 0.0494 | H 4.353 | miss 0.705
[     baseline] step 25750 | tr_full  4.2644 | tr_mis  5.6666 | val_ce 5.0268 | ppl 152.45 | acc 0.2507 | ece 0.0534 | H 4.311 | miss 0.705
[     baseline] step 26000 | tr_full  4.2588 | tr_mis  5.6572 | val_ce 5.0235 | ppl 151.94 | acc 0.2499 | ece 0.0469 | H 4.355 | miss 0.705
[     baseline] step 26250 | tr_full  4.2524 | tr_mis  5.6505 | val_ce 5.0442 | ppl 155.12 | acc 0.2508 | ece 0.0520 | H 4.288 | miss 0.704
[     baseline] step 26500 | tr_full  4.2476 | tr_mis  5.6516 | val_ce 5.0392 | ppl 154.35 | acc 0.2510 | ece 0.0491 | H 4.349 | miss 0.703
[     baseline] step 26750 | tr_full  4.2420 | tr_mis  5.6469 | val_ce 5.0327 | ppl 153.34 | acc 0.2519 | ece 0.0559 | H 4.272 | miss 0.703
[     baseline] step 27000 | tr_full  4.2196 | tr_mis  5.6225 | val_ce 5.0507 | ppl 156.13 | acc 0.2495 | ece 0.0523 | H 4.311 | miss 0.702
[     baseline] step 27250 | tr_full  4.1991 | tr_mis  5.6071 | val_ce 5.0315 | ppl 153.16 | acc 0.2506 | ece 0.0467 | H 4.388 | miss 0.700
[     baseline] step 27500 | tr_full  4.2031 | tr_mis  5.6111 | val_ce 5.0290 | ppl 152.78 | acc 0.2517 | ece 0.0621 | H 4.229 | miss 0.700
[     baseline] step 27750 | tr_full  4.1908 | tr_mis  5.6038 | val_ce 5.0442 | ppl 155.11 | acc 0.2500 | ece 0.0515 | H 4.293 | miss 0.699
[     baseline] step 28000 | tr_full  4.1824 | tr_mis  5.5938 | val_ce 5.0218 | ppl 151.69 | acc 0.2523 | ece 0.0576 | H 4.224 | miss 0.699
[     baseline] step 28250 | tr_full  4.1763 | tr_mis  5.5878 | val_ce 5.0120 | ppl 150.21 | acc 0.2531 | ece 0.0607 | H 4.212 | miss 0.699
[     baseline] step 28500 | tr_full  4.1799 | tr_mis  5.5934 | val_ce 5.0397 | ppl 154.42 | acc 0.2507 | ece 0.0590 | H 4.203 | miss 0.698
[     baseline] step 28750 | tr_full  4.1529 | tr_mis  5.5684 | val_ce 5.0302 | ppl 152.97 | acc 0.2505 | ece 0.0552 | H 4.275 | miss 0.697
[     baseline] step 29000 | tr_full  4.1751 | tr_mis  5.5869 | val_ce 5.0325 | ppl 153.32 | acc 0.2513 | ece 0.0567 | H 4.196 | miss 0.698
[     baseline] step 29250 | tr_full  4.1450 | tr_mis  5.5609 | val_ce 5.0362 | ppl 153.88 | acc 0.2518 | ece 0.0627 | H 4.162 | miss 0.697
[     baseline] step 29500 | tr_full  4.1301 | tr_mis  5.5542 | val_ce 5.0290 | ppl 152.79 | acc 0.2521 | ece 0.0596 | H 4.188 | miss 0.695
[     baseline] step 29750 | tr_full  4.1529 | tr_mis  5.5645 | val_ce 5.0223 | ppl 151.76 | acc 0.2522 | ece 0.0598 | H 4.183 | miss 0.698
[     baseline] step 30000 | tr_full  4.1394 | tr_mis  5.5533 | val_ce 5.0227 | ppl 151.83 | acc 0.2516 | ece 0.0555 | H 4.254 | miss 0.696
[     baseline] step 30250 | tr_full  4.1126 | tr_mis  5.5312 | val_ce 5.0346 | ppl 153.64 | acc 0.2528 | ece 0.0701 | H 4.123 | miss 0.694
[     baseline] step 30500 | tr_full  4.1179 | tr_mis  5.5280 | val_ce 5.0399 | ppl 154.45 | acc 0.2511 | ece 0.0615 | H 4.195 | miss 0.696
[     baseline] step 30750 | tr_full  4.1053 | tr_mis  5.5207 | val_ce 5.0474 | ppl 155.62 | acc 0.2507 | ece 0.0639 | H 4.138 | miss 0.694
[     baseline] step 31000 | tr_full  4.0866 | tr_mis  5.5118 | val_ce 5.0494 | ppl 155.92 | acc 0.2504 | ece 0.0593 | H 4.234 | miss 0.692
[     baseline] step 31250 | tr_full  4.0702 | tr_mis  5.4930 | val_ce 5.0414 | ppl 154.68 | acc 0.2518 | ece 0.0649 | H 4.131 | miss 0.692
