$ mistake_only_experiment.py --n_steps 50000

Device: cuda
Vocab: 65 | train tokens: 1,003,854 | val tokens: 111,540

Model config: {'vocab_size': 65, 'block_size': 128, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 26.6190 (chance=4.174) | std=1.00 | 0.5s
  [noise-pretrain] step   100/500 | loss 4.3730 (chance=4.174) | std=1.00 | 3.2s
  [noise-pretrain] step   200/500 | loss 4.2273 (chance=4.174) | std=1.00 | 6.0s
  [noise-pretrain] step   300/500 | loss 4.2013 (chance=4.174) | std=1.00 | 8.9s
  [noise-pretrain] step   400/500 | loss 4.1983 (chance=4.174) | std=1.00 | 11.7s
  [noise-pretrain] step   500/500 | loss 4.1914 (chance=4.174) | std=1.00 | 14.5s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step 22500 | tr_full  1.3606 | tr_mis  2.6705 | val_ce 1.5548 | ppl   4.73 | acc 0.5442 | ece 0.0424 | H 1.332 | miss 0.424
[     baseline] step 22750 | tr_full  1.3783 | tr_mis  2.7045 | val_ce 1.5585 | ppl   4.75 | acc 0.5452 | ece 0.0458 | H 1.312 | miss 0.424
[     baseline] step 23000 | tr_full  1.4004 | tr_mis  2.7147 | val_ce 1.5566 | ppl   4.74 | acc 0.5444 | ece 0.0450 | H 1.322 | miss 0.425
[     baseline] step 23250 | tr_full  1.3613 | tr_mis  2.6961 | val_ce 1.5615 | ppl   4.77 | acc 0.5456 | ece 0.0445 | H 1.313 | miss 0.425
[     baseline] step 23500 | tr_full  1.3506 | tr_mis  2.6420 | val_ce 1.5556 | ppl   4.74 | acc 0.5461 | ece 0.0436 | H 1.319 | miss 0.423
[     baseline] step 23750 | tr_full  1.3400 | tr_mis  2.6107 | val_ce 1.5550 | ppl   4.74 | acc 0.5444 | ece 0.0437 | H 1.317 | miss 0.424
[     baseline] step 24000 | tr_full  1.3140 | tr_mis  2.6648 | val_ce 1.5529 | ppl   4.73 | acc 0.5468 | ece 0.0451 | H 1.311 | miss 0.422
[     baseline] step 24250 | tr_full  1.3293 | tr_mis  2.6157 | val_ce 1.5515 | ppl   4.72 | acc 0.5465 | ece 0.0483 | H 1.301 | miss 0.423
[     baseline] step 24500 | tr_full  1.3388 | tr_mis  2.6531 | val_ce 1.5590 | ppl   4.75 | acc 0.5453 | ece 0.0504 | H 1.295 | miss 0.422
[     baseline] step 24750 | tr_full  1.3414 | tr_mis  2.6601 | val_ce 1.5559 | ppl   4.74 | acc 0.5467 | ece 0.0473 | H 1.301 | miss 0.422
[     baseline] step 25000 | tr_full  1.3193 | tr_mis  2.6808 | val_ce 1.5547 | ppl   4.73 | acc 0.5474 | ece 0.0506 | H 1.285 | miss 0.421
[     baseline] step 25250 | tr_full  1.4072 | tr_mis  2.7132 | val_ce 1.5495 | ppl   4.71 | acc 0.5470 | ece 0.0481 | H 1.299 | miss 0.421
[     baseline] step 25500 | tr_full  1.3153 | tr_mis  2.6536 | val_ce 1.5511 | ppl   4.72 | acc 0.5475 | ece 0.0495 | H 1.286 | miss 0.420
[     baseline] step 25750 | tr_full  1.3404 | tr_mis  2.6377 | val_ce 1.5439 | ppl   4.68 | acc 0.5482 | ece 0.0444 | H 1.307 | miss 0.420
[     baseline] step 26000 | tr_full  1.3715 | tr_mis  2.6645 | val_ce 1.5444 | ppl   4.68 | acc 0.5497 | ece 0.0425 | H 1.307 | miss 0.419
[     baseline] step 26250 | tr_full  1.3478 | tr_mis  2.6278 | val_ce 1.5509 | ppl   4.72 | acc 0.5467 | ece 0.0460 | H 1.302 | miss 0.419
[     baseline] step 26500 | tr_full  1.3392 | tr_mis  2.6628 | val_ce 1.5505 | ppl   4.71 | acc 0.5470 | ece 0.0513 | H 1.288 | miss 0.419
[     baseline] step 26750 | tr_full  1.3017 | tr_mis  2.6454 | val_ce 1.5459 | ppl   4.69 | acc 0.5485 | ece 0.0505 | H 1.281 | miss 0.419
[     baseline] step 27000 | tr_full  1.3416 | tr_mis  2.6691 | val_ce 1.5514 | ppl   4.72 | acc 0.5479 | ece 0.0516 | H 1.281 | miss 0.418
[     baseline] step 27250 | tr_full  1.3298 | tr_mis  2.6414 | val_ce 1.5464 | ppl   4.69 | acc 0.5494 | ece 0.0489 | H 1.282 | miss 0.418
[     baseline] step 27500 | tr_full  1.3400 | tr_mis  2.6749 | val_ce 1.5438 | ppl   4.68 | acc 0.5497 | ece 0.0503 | H 1.283 | miss 0.417
[     baseline] step 27750 | tr_full  1.3194 | tr_mis  2.6684 | val_ce 1.5450 | ppl   4.69 | acc 0.5496 | ece 0.0541 | H 1.269 | miss 0.418
[     baseline] step 28000 | tr_full  1.3349 | tr_mis  2.6582 | val_ce 1.5458 | ppl   4.69 | acc 0.5492 | ece 0.0534 | H 1.271 | miss 0.418
[     baseline] step 28250 | tr_full  1.3020 | tr_mis  2.6217 | val_ce 1.5471 | ppl   4.70 | acc 0.5486 | ece 0.0472 | H 1.294 | miss 0.417
[     baseline] step 28500 | tr_full  1.3384 | tr_mis  2.6447 | val_ce 1.5379 | ppl   4.65 | acc 0.5496 | ece 0.0457 | H 1.290 | miss 0.417
[     baseline] step 28750 | tr_full  1.3300 | tr_mis  2.6447 | val_ce 1.5375 | ppl   4.65 | acc 0.5495 | ece 0.0508 | H 1.280 | miss 0.416
[     baseline] step 29000 | tr_full  1.3352 | tr_mis  2.6184 | val_ce 1.5436 | ppl   4.68 | acc 0.5507 | ece 0.0543 | H 1.265 | miss 0.415
[     baseline] step 29250 | tr_full  1.3346 | tr_mis  2.6420 | val_ce 1.5432 | ppl   4.68 | acc 0.5489 | ece 0.0541 | H 1.270 | miss 0.416
[     baseline] step 29500 | tr_full  1.3203 | tr_mis  2.6348 | val_ce 1.5393 | ppl   4.66 | acc 0.5502 | ece 0.0509 | H 1.281 | miss 0.416
[     baseline] step 29750 | tr_full  1.3529 | tr_mis  2.6427 | val_ce 1.5361 | ppl   4.65 | acc 0.5493 | ece 0.0458 | H 1.301 | miss 0.416
[     baseline] step 30000 | tr_full  1.3408 | tr_mis  2.6446 | val_ce 1.5429 | ppl   4.68 | acc 0.5512 | ece 0.0482 | H 1.277 | miss 0.415
[     baseline] step 30250 | tr_full  1.3679 | tr_mis  2.6763 | val_ce 1.5327 | ppl   4.63 | acc 0.5503 | ece 0.0463 | H 1.294 | miss 0.414
[     baseline] step 30500 | tr_full  1.2935 | tr_mis  2.6518 | val_ce 1.5406 | ppl   4.67 | acc 0.5496 | ece 0.0538 | H 1.272 | miss 0.414
[     baseline] step 30750 | tr_full  1.3109 | tr_mis  2.6084 | val_ce 1.5429 | ppl   4.68 | acc 0.5511 | ece 0.0470 | H 1.290 | miss 0.415
[     baseline] step 31000 | tr_full  1.2822 | tr_mis  2.6363 | val_ce 1.5447 | ppl   4.69 | acc 0.5518 | ece 0.0517 | H 1.266 | miss 0.413
