======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 66.3001 (chance=10.413) | std=1.00 | 0.7s
  [noise-pretrain] step   100/500 | loss 32.9704 (chance=10.413) | std=1.00 | 22.6s
  [noise-pretrain] step   200/500 | loss 24.2870 (chance=10.413) | std=1.00 | 45.9s
  [noise-pretrain] step   300/500 | loss 18.3145 (chance=10.413) | std=1.00 | 70.3s
  [noise-pretrain] step   400/500 | loss 14.7699 (chance=10.413) | std=1.00 | 95.9s
  [noise-pretrain] step   500/500 | loss 12.8712 (chance=10.413) | std=1.00 | 122.5s
  done.

Phase 1 (baseline): skipped via --skip_baselines
Phase 2 (mistake-only): skipped via --skip_baselines

======================================================================
Phase 3+: Hybrid (lambda=0.1)  [loss = CE_mistakes + 0.1 * CE_correct]
======================================================================
[hybrid-lam0.1] step  9750 | tr_full  5.2890 | tr_mis  6.3559 | val_ce 5.3609 | ppl 212.91 | acc 0.2248 | ece 0.0595 | H 5.604 | miss 0.776
[hybrid-lam0.1] step 10000 | tr_full  5.2635 | tr_mis  6.3318 | val_ce 5.3473 | ppl 210.05 | acc 0.2222 | ece 0.0583 | H 5.558 | miss 0.775
[hybrid-lam0.1] step 10250 | tr_full  5.2137 | tr_mis  6.2876 | val_ce 5.3262 | ppl 205.66 | acc 0.2258 | ece 0.0638 | H 5.586 | miss 0.772
[hybrid-lam0.1] step 10500 | tr_full  5.1849 | tr_mis  6.2537 | val_ce 5.3115 | ppl 202.65 | acc 0.2255 | ece 0.0609 | H 5.582 | miss 0.772
[hybrid-lam0.1] step 10750 | tr_full  5.1662 | tr_mis  6.2350 | val_ce 5.2949 | ppl 199.31 | acc 0.2274 | ece 0.0575 | H 5.487 | miss 0.771
[hybrid-lam0.1] step 11000 | tr_full  5.1422 | tr_mis  6.2111 | val_ce 5.2766 | ppl 195.70 | acc 0.2265 | ece 0.0561 | H 5.488 | miss 0.771
[hybrid-lam0.1] step 11250 | tr_full  5.1140 | tr_mis  6.1831 | val_ce 5.2647 | ppl 193.40 | acc 0.2274 | ece 0.0570 | H 5.460 | miss 0.769
[hybrid-lam0.1] step 11500 | tr_full  5.1050 | tr_mis  6.1765 | val_ce 5.2556 | ppl 191.63 | acc 0.2266 | ece 0.0528 | H 5.378 | miss 0.768
[hybrid-lam0.1] step 11750 | tr_full  5.0684 | tr_mis  6.1361 | val_ce 5.2369 | ppl 188.08 | acc 0.2269 | ece 0.0583 | H 5.448 | miss 0.767
[hybrid-lam0.1] step 12000 | tr_full  5.0425 | tr_mis  6.1116 | val_ce 5.2185 | ppl 184.66 | acc 0.2312 | ece 0.0582 | H 5.384 | miss 0.766
[hybrid-lam0.1] step 12250 | tr_full  5.0120 | tr_mis  6.0880 | val_ce 5.2087 | ppl 182.86 | acc 0.2302 | ece 0.0590 | H 5.340 | miss 0.764
[hybrid-lam0.1] step 12500 | tr_full  4.9934 | tr_mis  6.0719 | val_ce 5.2097 | ppl 183.04 | acc 0.2289 | ece 0.0620 | H 5.447 | miss 0.763
[hybrid-lam0.1] step 12750 | tr_full  4.9649 | tr_mis  6.0422 | val_ce 5.1906 | ppl 179.58 | acc 0.2288 | ece 0.0524 | H 5.377 | miss 0.762
[hybrid-lam0.1] step 13000 | tr_full  4.9598 | tr_mis  6.0350 | val_ce 5.1849 | ppl 178.55 | acc 0.2310 | ece 0.0583 | H 5.371 | miss 0.762
[hybrid-lam0.1] step 13250 | tr_full  4.9462 | tr_mis  6.0197 | val_ce 5.1856 | ppl 178.67 | acc 0.2290 | ece 0.0541 | H 5.288 | miss 0.762
[hybrid-lam0.1] step 13500 | tr_full  4.9241 | tr_mis  6.0008 | val_ce 5.1607 | ppl 174.29 | acc 0.2296 | ece 0.0561 | H 5.315 | miss 0.761
[hybrid-lam0.1] step 13750 | tr_full  4.8904 | tr_mis  5.9617 | val_ce 5.1647 | ppl 174.98 | acc 0.2306 | ece 0.0566 | H 5.310 | miss 0.760
[hybrid-lam0.1] step 14000 | tr_full  4.8654 | tr_mis  5.9426 | val_ce 5.1588 | ppl 173.96 | acc 0.2309 | ece 0.0538 | H 5.266 | miss 0.758
[hybrid-lam0.1] step 14250 | tr_full  4.8718 | tr_mis  5.9501 | val_ce 5.1421 | ppl 171.07 | acc 0.2325 | ece 0.0569 | H 5.259 | miss 0.758
[hybrid-lam0.1] step 14500 | tr_full  4.8454 | tr_mis  5.9247 | val_ce 5.1509 | ppl 172.59 | acc 0.2324 | ece 0.0567 | H 5.280 | miss 0.757
[hybrid-lam0.1] step 14750 | tr_full  4.8112 | tr_mis  5.8936 | val_ce 5.1436 | ppl 171.33 | acc 0.2320 | ece 0.0521 | H 5.199 | miss 0.755
[hybrid-lam0.1] step 15000 | tr_full  4.8045 | tr_mis  5.8824 | val_ce 5.1322 | ppl 169.40 | acc 0.2303 | ece 0.0526 | H 5.227 | miss 0.755
[hybrid-lam0.1] step 15250 | tr_full  4.7925 | tr_mis  5.8722 | val_ce 5.1214 | ppl 167.57 | acc 0.2326 | ece 0.0445 | H 5.079 | miss 0.754
[hybrid-lam0.1] step 15500 | tr_full  4.7733 | tr_mis  5.8547 | val_ce 5.1147 | ppl 166.45 | acc 0.2341 | ece 0.0562 | H 5.272 | miss 0.753
[hybrid-lam0.1] step 15750 | tr_full  4.7610 | tr_mis  5.8392 | val_ce 5.1080 | ppl 165.34 | acc 0.2340 | ece 0.0522 | H 5.175 | miss 0.754
[hybrid-lam0.1] step 16000 | tr_full  4.7348 | tr_mis  5.8191 | val_ce 5.1040 | ppl 164.68 | acc 0.2349 | ece 0.0480 | H 5.116 | miss 0.751
[hybrid-lam0.1] step 16250 | tr_full  4.7256 | tr_mis  5.8087 | val_ce 5.1115 | ppl 165.93 | acc 0.2348 | ece 0.0490 | H 5.107 | miss 0.751
[hybrid-lam0.1] step 16500 | tr_full  4.7326 | tr_mis  5.8133 | val_ce 5.0919 | ppl 162.70 | acc 0.2354 | ece 0.0503 | H 5.126 | miss 0.752
[hybrid-lam0.1] step 16750 | tr_full  4.7027 | tr_mis  5.7817 | val_ce 5.1164 | ppl 166.73 | acc 0.2305 | ece 0.0512 | H 5.143 | miss 0.751
[hybrid-lam0.1] step 17000 | tr_full  4.6724 | tr_mis  5.7571 | val_ce 5.0949 | ppl 163.19 | acc 0.2358 | ece 0.0465 | H 5.042 | miss 0.749
[hybrid-lam0.1] step 17250 | tr_full  4.6769 | tr_mis  5.7561 | val_ce 5.0912 | ppl 162.58 | acc 0.2354 | ece 0.0563 | H 5.176 | miss 0.750
[hybrid-lam0.1] step 17500 | tr_full  4.6594 | tr_mis  5.7463 | val_ce 5.0903 | ppl 162.43 | acc 0.2362 | ece 0.0489 | H 5.071 | miss 0.748
[hybrid-lam0.1] step 17750 | tr_full  4.6595 | tr_mis  5.7402 | val_ce 5.0831 | ppl 161.27 | acc 0.2354 | ece 0.0515 | H 5.087 | miss 0.749
[hybrid-lam0.1] step 18000 | tr_full  4.6505 | tr_mis  5.7304 | val_ce 5.0770 | ppl 160.30 | acc 0.2372 | ece 0.0554 | H 5.140 | miss 0.748
[hybrid-lam0.1] step 18250 | tr_full  4.6172 | tr_mis  5.7026 | val_ce 5.0721 | ppl 159.51 | acc 0.2366 | ece 0.0542 | H 5.124 | miss 0.746
[hybrid-lam0.1] step 18500 | tr_full  4.6209 | tr_mis  5.6987 | val_ce 5.0657 | ppl 158.49 | acc 0.2367 | ece 0.0485 | H 5.054 | miss 0.748
[hybrid-lam0.1] step 18750 | tr_full  4.5883 | tr_mis  5.6721 | val_ce 5.0789 | ppl 160.59 | acc 0.2335 | ece 0.0486 | H 5.068 | miss 0.745
[hybrid-lam0.1] step 19000 | tr_full  4.5802 | tr_mis  5.6678 | val_ce 5.0868 | ppl 161.87 | acc 0.2333 | ece 0.0524 | H 5.152 | miss 0.744
[hybrid-lam0.1] step 19250 | tr_full  4.5836 | tr_mis  5.6715 | val_ce 5.0771 | ppl 160.31 | acc 0.2342 | ece 0.0482 | H 5.064 | miss 0.744
[hybrid-lam0.1] step 19500 | tr_full  4.5672 | tr_mis  5.6554 | val_ce 5.0757 | ppl 160.09 | acc 0.2341 | ece 0.0447 | H 5.022 | miss 0.744
[hybrid-lam0.1] step 19750 | tr_full  4.5527 | tr_mis  5.6413 | val_ce 5.0553 | ppl 156.85 | acc 0.2362 | ece 0.0527 | H 5.089 | miss 0.743
[hybrid-lam0.1] step 20000 | tr_full  4.5397 | tr_mis  5.6253 | val_ce 5.0648 | ppl 158.36 | acc 0.2363 | ece 0.0483 | H 5.037 | miss 0.743
[hybrid-lam0.1] step 20250 | tr_full  4.5303 | tr_mis  5.6142 | val_ce 5.0808 | ppl 160.90 | acc 0.2348 | ece 0.0506 | H 5.061 | miss 0.742
[hybrid-lam0.1] step 20500 | tr_full  4.5138 | tr_mis  5.6041 | val_ce 5.0707 | ppl 159.29 | acc 0.2346 | ece 0.0540 | H 5.155 | miss 0.741
[hybrid-lam0.1] step 20750 | tr_full  4.5041 | tr_mis  5.5893 | val_ce 5.0670 | ppl 158.70 | acc 0.2339 | ece 0.0478 | H 5.038 | miss 0.741
[hybrid-lam0.1] step 21000 | tr_full  4.4963 | tr_mis  5.5847 | val_ce 5.0563 | ppl 157.00 | acc 0.2344 | ece 0.0470 | H 5.043 | miss 0.740
[hybrid-lam0.1] step 21250 | tr_full  4.4799 | tr_mis  5.5713 | val_ce 5.0509 | ppl 156.16 | acc 0.2381 | ece 0.0472 | H 4.946 | miss 0.739
[hybrid-lam0.1] step 21500 | tr_full  4.4760 | tr_mis  5.5647 | val_ce 5.0469 | ppl 155.54 | acc 0.2379 | ece 0.0487 | H 5.006 | miss 0.739
[hybrid-lam0.1] step 21750 | tr_full  4.4777 | tr_mis  5.5634 | val_ce 5.0563 | ppl 157.01 | acc 0.2355 | ece 0.0493 | H 5.034 | miss 0.740
[hybrid-lam0.1] step 22000 | tr_full  4.4674 | tr_mis  5.5532 | val_ce 5.0676 | ppl 158.80 | acc 0.2356 | ece 0.0452 | H 4.974 | miss 0.739
[hybrid-lam0.1] step 22250 | tr_full  4.4639 | tr_mis  5.5479 | val_ce 5.0585 | ppl 157.35 | acc 0.2370 | ece 0.0462 | H 4.985 | miss 0.739
[hybrid-lam0.1] step 22500 | tr_full  4.4544 | tr_mis  5.5344 | val_ce 5.0454 | ppl 155.30 | acc 0.2346 | ece 0.0426 | H 4.947 | miss 0.740
[hybrid-lam0.1] step 22750 | tr_full  4.4263 | tr_mis  5.5213 | val_ce 5.0462 | ppl 155.44 | acc 0.2370 | ece 0.0434 | H 4.940 | miss 0.736
[hybrid-lam0.1] step 23000 | tr_full  4.4256 | tr_mis  5.5112 | val_ce 5.0649 | ppl 158.36 | acc 0.2338 | ece 0.0449 | H 4.992 | miss 0.738
[hybrid-lam0.1] step 23250 | tr_full  4.4226 | tr_mis  5.5021 | val_ce 5.0609 | ppl 157.73 | acc 0.2344 | ece 0.0415 | H 4.943 | miss 0.738
[hybrid-lam0.1] step 23500 | tr_full  4.4068 | tr_mis  5.4939 | val_ce 5.0564 | ppl 157.02 | acc 0.2358 | ece 0.0423 | H 4.910 | miss 0.736
[hybrid-lam0.1] step 23750 | tr_full  4.3939 | tr_mis  5.4794 | val_ce 5.0439 | ppl 155.07 | acc 0.2365 | ece 0.0378 | H 4.846 | miss 0.736
[hybrid-lam0.1] step 23750 | tr_full  4.3939 | tr_mis  5.4794 | val_ce 5.0439 | ppl 155.07 | acc 0.2365 | ece 0.0378 | H 4.846 | miss 0.736
[hybrid-lam0.1] step 24000 | tr_full  4.3766 | tr_mis  5.4665 | val_ce 5.0591 | ppl 157.45 | acc 0.2338 | ece 0.0375 | H 4.848 | miss 0.734
[hybrid-lam0.1] step 24250 | tr_full  4.3757 | tr_mis  5.4641 | val_ce 5.0484 | ppl 155.77 | acc 0.2356 | ece 0.0430 | H 4.893 | miss 0.734
[hybrid-lam0.1] step 24500 | tr_full  4.3625 | tr_mis  5.4472 | val_ce 5.0482 | ppl 155.74 | acc 0.2363 | ece 0.0397 | H 4.862 | miss 0.735
[hybrid-lam0.1] step 24750 | tr_full  4.3614 | tr_mis  5.4456 | val_ce 5.0578 | ppl 157.24 | acc 0.2359 | ece 0.0422 | H 4.876 | miss 0.735
[hybrid-lam0.1] step 25000 | tr_full  4.3512 | tr_mis  5.4426 | val_ce 5.0448 | ppl 155.21 | acc 0.2362 | ece 0.0435 | H 4.929 | miss 0.733
[hybrid-lam0.1] step 25250 | tr_full  4.3450 | tr_mis  5.4301 | val_ce 5.0341 | ppl 153.56 | acc 0.2372 | ece 0.0426 | H 4.929 | miss 0.734
[hybrid-lam0.1] step 25500 | tr_full  4.3374 | tr_mis  5.4187 | val_ce 5.0541 | ppl 156.67 | acc 0.2362 | ece 0.0392 | H 4.848 | miss 0.734
[hybrid-lam0.1] step 25750 | tr_full  4.3256 | tr_mis  5.4154 | val_ce 5.0312 | ppl 153.12 | acc 0.2367 | ece 0.0396 | H 4.853 | miss 0.732
[hybrid-lam0.1] step 26000 | tr_full  4.3166 | tr_mis  5.3985 | val_ce 5.0393 | ppl 154.36 | acc 0.2336 | ece 0.0419 | H 4.891 | miss 0.733
[hybrid-lam0.1] step 26250 | tr_full  4.3123 | tr_mis  5.3953 | val_ce 5.0399 | ppl 154.46 | acc 0.2387 | ece 0.0397 | H 4.800 | miss 0.732
[hybrid-lam0.1] step 26500 | tr_full  4.3099 | tr_mis  5.3929 | val_ce 5.0341 | ppl 153.56 | acc 0.2369 | ece 0.0439 | H 4.911 | miss 0.732
[hybrid-lam0.1] step 26750 | tr_full  4.3029 | tr_mis  5.3904 | val_ce 5.0377 | ppl 154.12 | acc 0.2375 | ece 0.0396 | H 4.827 | miss 0.731
[hybrid-lam0.1] step 27000 | tr_full  4.2801 | tr_mis  5.3599 | val_ce 5.0455 | ppl 155.32 | acc 0.2352 | ece 0.0453 | H 4.908 | miss 0.731
[hybrid-lam0.1] step 27250 | tr_full  4.2629 | tr_mis  5.3512 | val_ce 5.0427 | ppl 154.88 | acc 0.2346 | ece 0.0390 | H 4.834 | miss 0.729
[hybrid-lam0.1] step 27500 | tr_full  4.2653 | tr_mis  5.3508 | val_ce 5.0388 | ppl 154.28 | acc 0.2369 | ece 0.0359 | H 4.801 | miss 0.729
[hybrid-lam0.1] step 27750 | tr_full  4.2527 | tr_mis  5.3413 | val_ce 5.0475 | ppl 155.63 | acc 0.2340 | ece 0.0420 | H 4.871 | miss 0.729
[hybrid-lam0.1] step 28000 | tr_full  4.2464 | tr_mis  5.3323 | val_ce 5.0344 | ppl 153.61 | acc 0.2368 | ece 0.0380 | H 4.798 | miss 0.729
[hybrid-lam0.1] step 28250 | tr_full  4.2388 | tr_mis  5.3310 | val_ce 5.0243 | ppl 152.06 | acc 0.2379 | ece 0.0371 | H 4.783 | miss 0.727
